Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
Fairview Ave N / Thomas St,MVI - Motor Vehicle Incident,1/1/23 0:04,47.620839,-122.334268,POINT (-122.334268 47.620839),F230000001
1400 6th Ave,Medic Response,1/1/23 0:08,47.61015,-122.333556,POINT (-122.333556 47.61015),F230000002
4th Ave / Seneca St,Aid Response,1/1/23 0:08,47.607515,-122.334213,POINT (-122.334213 47.607515),F230000003
201 W HARRISON ST,Auto Fire Alarm,1/1/23 0:14,47.622118,-122.35934,POINT (-122.35934 47.622118),F230000007
Ne 127th St / Lake City Way Ne,Dumpster Fire,1/1/23 0:19,47.721091,-122.294161,POINT (-122.294161 47.721091),F230000008
400 Pine St,MVI - Motor Vehicle Incident,1/1/23 0:19,47.611207,-122.337592,POINT (-122.337592 47.611207),F230000009
15th Ave / E Denny Way,Scenes Of Violence 7,1/1/23 0:21,47.61852,-122.312742,POINT (-122.312742 47.61852),F230000011
420 Valley St,Dumpster Fire,1/1/23 0:22,47.626285,-122.348596,POINT (-122.348596 47.626285),F230000012
E Olive St / Summit Ave,Aid Response,1/1/23 0:24,47.616342,-122.325543,POINT (-122.325543 47.616342),F230000013
4328 15th Ave S,Aid Response,1/1/23 0:25,47.564661,-122.313498,POINT (-122.313498 47.564661),F230000014
Aloha St / Taylor Ave N,Aid Response,1/1/23 0:26,47.627155,-122.346245,POINT (-122.346245 47.627155),F230000016
1421 Minor Ave,Aid Response,1/1/23 0:28,47.613146,-122.327096,POINT (-122.327096 47.613146),F230000018
Summit Ave E / E John St,Aid Response,1/1/23 0:28,47.619651,-122.325294,POINT (-122.325294 47.619651),F230000019
2330 1st Ave,Auto Fire Alarm,1/1/23 0:30,47.613603,-122.346898,POINT (-122.346898 47.613603),F230000020
300 Terry Ave N,Aid Response,1/1/23 0:31,47.620869,-122.337161,POINT (-122.337161 47.620869),F230000023
172 S Washington St,Aid Response,1/1/23 0:31,47.600881,-122.332279,POINT (-122.332279 47.600881),F230000021
7815 32nd Ave S,Aid Response,1/1/23 0:33,47.532278,-122.290799,POINT (-122.290799 47.532278),F230000022
1st Ave / Broad St,Aid Response,1/1/23 0:37,47.616918,-122.352507,POINT (-122.352507 47.616918),F230000024
200 6th Ave N,Auto Fire Alarm,1/1/23 0:38,47.61973,-122.345007,POINT (-122.345007 47.61973),F230000025
Sw Alaska St / Fauntleroy Way Sw,MVI - Motor Vehicle Incident,1/1/23 0:40,47.561107,-122.381456,POINT (-122.381456 47.561107),F230000028
E Pine St / 11th Ave,Aid Response,1/1/23 0:41,47.615254,-122.318159,POINT (-122.318159 47.615254),F230000029
300 Broadway E,Aid Response,1/1/23 0:43,47.621076,-122.320892,POINT (-122.320892 47.621076),F230000031
2024 3rd Ave,Aid Response,1/1/23 0:45,47.612578,-122.341197,POINT (-122.341197 47.612578),F230000032
2614 4th Ave,Nurseline/AMR,1/1/23 0:46,47.617316,-122.347229,POINT (-122.347229 47.617316),F230000033
5312 50th Ave S,Aid Response,1/1/23 0:48,47.554016,-122.270907,POINT (-122.270907 47.554016),F230000034
5th Ave / Union St,MVI - Motor Vehicle Incident,1/1/23 0:53,47.609685,-122.334666,POINT (-122.334666 47.609685),F230000035
Harrison St / Taylor Ave N,Single Medic Unit,1/1/23 0:54,47.62207,-122.346287,POINT (-122.346287 47.62207),F230000037
10703 1st Ave Nw,Aid Response,1/1/23 0:55,47.706928,-122.358128,POINT (-122.358128 47.706928),F230000038
316 E Pike St,Aid Response,1/1/23 0:56,47.613992,-122.327658,POINT (-122.327658 47.613992),F230000039
4th Ave / Pine St,MVI - Motor Vehicle Incident,1/1/23 0:56,47.611207,-122.337592,POINT (-122.337592 47.611207),F230000040
925 E Pike St,Aid Response,1/1/23 0:57,47.614078,-122.32044,POINT (-122.32044 47.614078),F230000041
504 E Denny Way,Aid Response,1/1/23 0:59,47.618488,-122.325234,POINT (-122.325234 47.618488),F230000042
S Jackson St / 1st Ave S,Aid Response,1/1/23 1:03,47.599205,-122.334188,POINT (-122.334188 47.599205),F230000043
509 3rd Ave,Aid Response,1/1/23 1:14,47.602114,-122.330809,POINT (-122.330809 47.602114),F230000046
1959 Ne Pacific St,Medic Response,1/1/23 1:16,47.650694,-122.307916,POINT (-122.307916 47.650694),F230000047
810 Virginia St,Aid Response,1/1/23 1:16,47.615789,-122.336507,POINT (-122.336507 47.615789),F230000048
804 N Motor Pl,Aid Response,1/1/23 1:18,47.658652,-122.348542,POINT (-122.348542 47.658652),F230000049
2850 Nw 56th St,Aid Response,1/1/23 1:19,47.669464,-122.393562,POINT (-122.393562 47.669464),F230000051
6903 12th Ave Ne,Low Acuity Response,1/1/23 1:19,47.678766,-122.315699,POINT (-122.315699 47.678766),F230000050
1334 44th Ave Sw,Nurseline/AMR,1/1/23 1:21,47.591701,-122.387299,POINT (-122.387299 47.591701),F230000052
2nd Ave S / S Jackson St,Aid Response,1/1/23 1:22,47.599201,-122.331578,POINT (-122.331578 47.599201),F230000053
1212 E PINE ST,Aid Response,1/1/23 1:24,47.615265,-122.316694,POINT (-122.316694 47.615265),F230000054
2900 1st Ave,Aid Response,1/1/23 1:27,47.616918,-122.352507,POINT (-122.352507 47.616918),F230000055
5410 20th Ave S,Medic Response,1/1/23 1:28,47.553828,-122.307326,POINT (-122.307326 47.553828),F230000057
2400 ELLIOTT AVE,Rescue Lock In/Out,1/1/23 1:29,47.612815,-122.349533,POINT (-122.349533 47.612815),F230000058
12th Ave / E Pike St,Aid Response,1/1/23 1:34,47.614104,-122.316836,POINT (-122.316836 47.614104),F230000060
108 2ND AVE S,Medic Response- Overdose,1/1/23 1:37,47.601681,-122.331562,POINT (-122.331562 47.601681),F230000062
10557 Stone Ave N,Aid Response,1/1/23 1:39,47.705568,-122.342012,POINT (-122.342012 47.705568),F230000061
