Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
13554 22nd Ave Ne,Medic Response,4/1/23 0:05,47.727309,-122.305317,POINT (-122.305317 47.727309),F230039339
33rd Ave Ne / Ne 75th St,Aid Response,4/1/23 0:14,47.683048,-122.292639,POINT (-122.292639 47.683048),F230039340
2020 S Jackson St,Medic Response- 7 per Rule,4/1/23 0:16,47.599261,-122.305296,POINT (-122.305296 47.599261),F230039341
1215 Thomas St,Medic Response,4/1/23 0:24,47.620815,-122.332585,POINT (-122.332585 47.620815),F230039342
105 W Mercer St,Aid Response,4/1/23 0:26,47.624588,-122.358069,POINT (-122.358069 47.624588),F230039343
325 9th Ave,Encampment Fire,4/1/23 0:28,47.603588,-122.322949,POINT (-122.322949 47.603588),F230039344
10602 62nd Ave S,Aid Response,4/1/23 0:31,47.506143,-122.256387,POINT (-122.256387 47.506143),F230039346
Pine St / Minor Ave,Aid Response,4/1/23 0:37,47.614921,-122.328712,POINT (-122.328712 47.614921),F230039347
4123 12th Ave Ne,Rescue Elevator,4/1/23 0:41,47.657194,-122.31555,POINT (-122.31555 47.657194),F230039348
424 Minor Ave N,Medic Response,4/1/23 0:44,47.622242,-122.332995,POINT (-122.332995 47.622242),F230039349
1215 N 45th St,Low Acuity Response,4/1/23 0:52,47.661385,-122.343048,POINT (-122.343048 47.661385),F230039350
1531 Ne 145th St,Aid Response,4/1/23 0:55,47.733947,-122.31233,POINT (-122.31233 47.733947),F230039351
2611 S Dearborn St,Aid Response,4/1/23 0:56,47.595541,-122.298643,POINT (-122.298643 47.595541),F230039352
3rd Ave W / W Mercer St,Aid Response,4/1/23 1:06,47.624599,-122.360628,POINT (-122.360628 47.624599),F230039354
6044 Upland Ter S,Low Acuity Response,4/1/23 1:21,47.548691,-122.265713,POINT (-122.265713 47.548691),F230039359
2134 Western Ave,Aid Response,4/1/23 1:29,47.611432,-122.34521,POINT (-122.34521 47.611432),F230039360
318 2nd Ave Et S,Medic Response,4/1/23 1:31,47.600194,-122.330541,POINT (-122.330541 47.600194),F230039361
Mercer St / Warren Ave N,Low Acuity Response,4/1/23 1:32,47.624576,-122.354098,POINT (-122.354098 47.624576),F230039362
223 Yesler Way,Rubbish Fire,4/1/23 1:33,47.601718,-122.331581,POINT (-122.331581 47.601718),F230039363
3820 Ne 96th St,Low Acuity Response,4/1/23 1:37,47.698347,-122.287188,POINT (-122.287188 47.698347),F230039364
Pike Pl / Stewart St,Aid Response,4/1/23 1:47,47.609634,-122.342172,POINT (-122.342172 47.609634),F230039365
Battery St / 2nd Ave,Medic Response- 6 per Rule,4/1/23 1:53,47.614809,-122.346954,POINT (-122.346954 47.614809),F230039366
3280 Sw Avalon Way,Aid Response,4/1/23 1:56,47.564155,-122.373284,POINT (-122.373284 47.564155),F230039371
W Mercer Pl / 6th Ave W,Aid Response,4/1/23 1:58,47.625174,-122.364534,POINT (-122.364534 47.625174),F230039372
1st Ave N / Roy St,Triaged Incident,4/1/23 1:59,47.625452,-122.355397,POINT (-122.355397 47.625452),F230039373
1811 Summit Ave,Aid Response,4/1/23 2:05,47.617817,-122.325288,POINT (-122.325288 47.617817),F230039374
2611 S Dearborn St,Aid Response,4/1/23 2:07,47.595541,-122.298643,POINT (-122.298643 47.595541),F230039375
1509 Broadway,Automatic Fire Alarm False,4/1/23 2:09,47.614171,-122.320782,POINT (-122.320782 47.614171),F230039376
13201 Linden Ave N,Aid Response,4/1/23 2:10,47.724675,-122.347985,POINT (-122.347985 47.724675),F230039377
50 University St,Aid Response,4/1/23 2:30,47.606057,-122.340057,POINT (-122.340057 47.606057),F230039378
12533 37th Ave Ne,Aid Response,4/1/23 2:48,47.719474,-122.288534,POINT (-122.288534 47.719474),F230039379
4535 Rainier Ave S,MVI - Motor Vehicle Incident,4/1/23 2:50,47.562442,-122.287733,POINT (-122.287733 47.562442),F230039380
Rainier Ave S / S Genesee St,Aid Response,4/1/23 3:01,47.564095,-122.288186,POINT (-122.288186 47.564095),F230039381
913 S Jackson St,AFA4 - Auto Alarm 2 + 1 + 1,4/1/23 3:07,47.59919,-122.320841,POINT (-122.320841 47.59919),F230039382
7735 14th Ave Nw,Low Acuity Response,4/1/23 3:08,47.685277,-122.374093,POINT (-122.374093 47.685277),F230039383
3720 Montlake Blvd Ne,Auto Fire Alarm,4/1/23 3:10,47.649341,-122.304579,POINT (-122.304579 47.649341),F230039385
14TH AVE NW / NW 54TH ST,Aid Response,4/1/23 3:11,47.66789,-122.373589,POINT (-122.373589 47.66789),F230039386
7124 47th Ave Sw,Low Acuity Response,4/1/23 3:19,47.538889,-122.393088,POINT (-122.393088 47.538889),F230039388
500 5th Ave,Aid Response,4/1/23 3:22,47.602985,-122.328535,POINT (-122.328535 47.602985),F230039389
2801 1st Ave,Medic Response,4/1/23 3:24,47.616354,-122.35155,POINT (-122.35155 47.616354),F230039390
5240 17th Ave Ne,Triaged Incident,4/1/23 3:34,47.666698,-122.309449,POINT (-122.309449 47.666698),F230039391
201 Galer St,Aid Response,4/1/23 3:41,47.632312,-122.352629,POINT (-122.352629 47.632312),F230039393
108 2ND AVE S,Aid Response,4/1/23 3:44,47.601681,-122.331562,POINT (-122.331562 47.601681),F230039394
725 9th Ave,Low Acuity Response,4/1/23 3:49,47.606444,-122.325563,POINT (-122.325563 47.606444),F230039395
1935 41st Ave Sw,Aid Response,4/1/23 3:52,47.586536,-122.383695,POINT (-122.383695 47.586536),F230039396
2836 10th Ave E,Aid Response,4/1/23 4:00,47.646083,-122.319589,POINT (-122.319589 47.646083),F230039397
S Main St / 3rd Ave S,Aid Response,4/1/23 4:10,47.599991,-122.330342,POINT (-122.330342 47.599991),F230039398
Rainier Ave S / S Graham St,MVI - Motor Vehicle Incident,4/1/23 4:13,47.546027,-122.275989,POINT (-122.275989 47.546027),F230039399
999 Nw Leary Way,Aid Response,4/1/23 4:24,47.663657,-122.37045,POINT (-122.37045 47.663657),F230039400
1930 14th Ave E,Low Acuity Response,4/1/23 4:30,47.636165,-122.314721,POINT (-122.314721 47.636165),F230039401
720 3RD AVE,Aid Response,4/1/23 4:36,47.603622,-122.332188,POINT (-122.332188 47.603622),F230039403
14th Ave Nw / Nw 54th St,Nurseline/AMR,4/1/23 4:38,47.66789,-122.373589,POINT (-122.373589 47.66789),F230039404
4700 12th Ave Ne,Aid Response,4/1/23 5:01,47.663106,-122.315263,POINT (-122.315263 47.663106),F230039405
1911 22nd Ave S,Aid Response,4/1/23 5:03,47.586234,-122.304237,POINT (-122.304237 47.586234),F230039406
6031 6th Ave Nw,Aid Response Yellow,4/1/23 5:05,47.672624,-122.364007,POINT (-122.364007 47.672624),F230039407
10436 55th Ave S,Activated CO Detector,4/1/23 5:13,47.507579,-122.264774,POINT (-122.264774 47.507579),F230039408
4700 12th Ave Ne,Triaged Incident,4/1/23 5:19,47.663106,-122.315263,POINT (-122.315263 47.663106),F230039409
S Fidalgo St / Padilla Pl S,Car Fire,4/1/23 5:20,47.549862,-122.323614,POINT (-122.323614 47.549862),F230039410
913 S Jackson St,Aid Response,4/1/23 5:24,47.59919,-122.320841,POINT (-122.320841 47.59919),F230039411
747 N 135th St,Hang-Up- Aid,4/1/23 5:29,47.726803,-122.347793,POINT (-122.347793 47.726803),F230039412
100 Broadway E,Aid Response,4/1/23 5:30,47.61874,-122.320854,POINT (-122.320854 47.61874),F230039413
2414 1st Ave,Auto Fire Alarm,4/1/23 5:37,47.614217,-122.347937,POINT (-122.347937 47.614217),F230039414
3916 S Morgan St,Aid Response,4/1/23 5:52,47.543884,-122.283172,POINT (-122.283172 47.543884),F230039416
3641 2nd Ave S,Triaged Incident,4/1/23 5:53,47.571212,-122.332002,POINT (-122.332002 47.571212),F230039418
1930 14th Ave E,Low Acuity Response,4/1/23 5:53,47.636165,-122.314721,POINT (-122.314721 47.636165),F230039419
15th Ave E / E Denny Way,Aid Response,4/1/23 5:58,47.61852,-122.312742,POINT (-122.312742 47.61852),F230039421
3405 E Pine St,Low Acuity Response,4/1/23 6:00,47.615207,-122.289183,POINT (-122.289183 47.615207),F230039422
913 S Jackson St,Rescue Elevator,4/1/23 6:10,47.59919,-122.320841,POINT (-122.320841 47.59919),F230039423
35th Ave Ne / Ne 123rd St,Illegal Burn,4/1/23 6:35,47.717317,-122.291365,POINT (-122.291365 47.717317),F230039424
318 2nd Ave Et S,Aid Response,4/1/23 6:36,47.600194,-122.330541,POINT (-122.330541 47.600194),F230039425
6718 M L King Jr Way S,Aid Response,4/1/23 6:49,47.542292,-122.283626,POINT (-122.283626 47.542292),F230039426
8th Ave S / S Jackson St,Aid Response,4/1/23 6:51,47.599186,-122.322445,POINT (-122.322445 47.599186),F230039427
224 S Washington St,Aid Response,4/1/23 7:03,47.600878,-122.331064,POINT (-122.331064 47.600878),F230039428
5932 California Ave Sw,Auto Fire Alarm,4/1/23 7:05,47.54971,-122.387108,POINT (-122.387108 47.54971),F230039429
2000 W Barrett St,Medic Response- 6 per Rule,4/1/23 7:08,47.646587,-122.381974,POINT (-122.381974 47.646587),F230039431
503 S Royal Brougham Way,Medic Response,4/1/23 7:19,47.592399,-122.327256,POINT (-122.327256 47.592399),F230039433
2611 S Dearborn St,Medic Response,4/1/23 7:30,47.595541,-122.298643,POINT (-122.298643 47.595541),F230039436
120 Ne 103rd St,Aid Response,4/1/23 7:40,47.703178,-122.328266,POINT (-122.328266 47.703178),F230039438
3rd Ave W / W Mercer St,Medic Response- Overdose,4/1/23 7:42,47.624599,-122.360628,POINT (-122.360628 47.624599),F230039439
5433 Leary Ave Nw,Medic Response- 7 per Rule,4/1/23 7:47,47.667504,-122.38311,POINT (-122.38311 47.667504),F230039440
Queen Anne Ave N / Smith St,MVI - Motor Vehicle Incident,4/1/23 7:54,47.641434,-122.3569,POINT (-122.3569 47.641434),F230039441
39th Ave E / E Blaine St,MVI - Motor Vehicle Incident,4/1/23 7:54,47.634584,-122.282659,POINT (-122.282659 47.634584),F230039442
2356 12TH AVE S,1RED 1 Unit,4/1/23 7:55,47.581815,-122.317321,POINT (-122.317321 47.581815),F230039443
2611 S Dearborn St,Medic Response,4/1/23 8:00,47.595541,-122.298643,POINT (-122.298643 47.595541),F230039446
N 143rd St / Greenwood Ave N,Triaged Incident,4/1/23 8:06,47.732314,-122.355567,POINT (-122.355567 47.732314),F230039448
GREENWOOD AVE N / N 143RD ST,Rescue Extrication,4/1/23 8:06,47.732314,-122.355567,POINT (-122.355567 47.732314),F230039447
1519 Alaskan Way S,Aid Response,4/1/23 8:08,47.590493,-122.337418,POINT (-122.337418 47.590493),F230039450
2611 S Dearborn St,Aid Response,4/1/23 8:09,47.595541,-122.298643,POINT (-122.298643 47.595541),F230039451
9253 Fauntleroy Way Sw,Hang-Up- Aid,4/1/23 8:09,47.520776,-122.393552,POINT (-122.393552 47.520776),F230039452
11045 8th Ave Ne,Aid Response,4/1/23 8:17,47.7089,-122.320568,POINT (-122.320568 47.7089),F230039453
301 Pine St,Rescue Elevator,4/1/23 8:20,47.610748,-122.338691,POINT (-122.338691 47.610748),F230039454
1135 Nw Leary Way,Rubbish Fire,4/1/23 8:20,47.663658,-122.371089,POINT (-122.371089 47.663658),F230039455
1105 E Fir St,Auto Fire Alarm,4/1/23 8:23,47.602688,-122.318034,POINT (-122.318034 47.602688),F230039456
6TH AVE N / HIGHLAND DR,Triaged Incident,4/1/23 8:25,47.62973,-122.344937,POINT (-122.344937 47.62973),F230039457
4818 S Warsaw St,Low Acuity Response,4/1/23 8:25,47.543379,-122.272535,POINT (-122.272535 47.543379),F230039458
510 Bellevue Ave E,Medic Response,4/1/23 8:26,47.623433,-122.326594,POINT (-122.326594 47.623433),F230039460
6th Ave N / Highland Dr,Illegal Burn,4/1/23 8:26,47.62973,-122.344937,POINT (-122.344937 47.62973),F230039461
1407 E OLIVE ST,Low Acuity Response,4/1/23 8:33,47.616451,-122.314154,POINT (-122.314154 47.616451),F230039463
1415 E Olive St,Triaged Incident,4/1/23 8:35,47.616451,-122.314031,POINT (-122.314031 47.616451),F230039464
10101 Rainier Ave S,MVI - Motor Vehicle Incident,4/1/23 8:41,47.511052,-122.246577,POINT (-122.246577 47.511052),F230039465
12046 Roosevelt Way Ne,Aid Response,4/1/23 8:42,47.716056,-122.318028,POINT (-122.318028 47.716056),F230039466
1930 14th Ave E,Low Acuity Response,4/1/23 8:43,47.636165,-122.314721,POINT (-122.314721 47.636165),F230039468
